Brands,Familys,Years,Models,TechInfos,Equipments
Ford,Escort,1991,Escort Ghia 1.8i / 1.8 / 1.6,"FIPE 06/23:R$ 5.436,00;Ano:1991;Combustível:Gasolina;Configuração:Hatch;Garantia:1 ano;Geração:1;Lugares:5;Plataforma:CE14;Portas:2;Porte:Médio;Procedência:Nacional;Propulsão:Combustão;Série:MK4;Aceleração 0-100 km/h:11,8 s;Velocidade máxima:166 km/h;Acionam. do comando:Correia dentada;Alimentação:Carburador;Aspiração:Natural;Cilindrada:1781 cm³;Cilindros:4 em linha;Código do motor:AP-1800;Comando de válvulas:Único no cabeçote;Curso do pistão:86,4 mm;Diâmetro do cilindro:81 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,9 kg/cv;Peso/torque:62,5 kg/kgfm;Potência específica:48,8 cv/litro;Potência máxima:87 cv;Razão de compressão:8,5:1;Regime potência máx.:5400 rpm;Regime torque máx.:3000 rpm;Torque específico:8,5 kgfm/litro;Torque máximo:15,2 kgfm;Tuchos:Mecânicos;Válvulas por cilindro:2;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:5;Tração:Dianteira;Altura:1322 mm;Bitola dianteira:1400 mm;Bitola traseira:1423 mm;Carga útil:420 kg;Comprimento:4022 mm;Distância entre-eixos:2400 mm;Largura:1640 mm;Peso:950 kg;Porta-malas:305 litros;Tanque de combustível:64 litros;Vão livre do solo:130 mm;Altura do flanco:123 mm;Dianteiros:175/70 R13;Estepe:175/70 R13;Traseiros:175/70 R13;Área frontal (A):1,84 m²;Área frontal corrigida:0,644 m²;Coef. de arrasto (Cx):0,35;Assistência:Não assistida;Diâmetro de giro:11,3 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., McPherson;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (G):960 km;Urbana (G):608 km;Rodoviário (G):15 km/l;Urbano (G):9,5 km/l",
BMW,M3,2004,M3 3.2 24V,"Ano:2004;Combustível:Gasolina;Configuração:Cupê;Garantia:1 ano;Geração:3;Lugares:5;Portas:2;Porte:Médio;Procedência:Importado;Série:E46;Aceleração 0-100 km/h:4,9 s;Velocidade máxima:250 km/h;Acionam. do comando:Corrente;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:3246 cm³;Cilindros:6 em linha;Código do motor:S54B32;Comando de válvulas:Duplo no cabeçote;Curso do pistão:91 mm;Diâmetro do cilindro:87 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:3,8 kg/cv;Peso/torque:36,7 kg/kgfm;Potência específica:110,9 cv/litro;Potência máxima:360 cv;Razão de compressão:11,5:1;Rotação máxima:8000 rpm;Rotação potência máx.:7900 rpm;Rotação torque máx.:4900 rpm;Torque específico:11,6 kgfm/litro;Torque máximo:37,7 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:6;Quantidade de marchas:6;Tração:Traseira;Altura:1383 mm;Bitola dianteira:1508 mm;Bitola traseira:1525 mm;Carga útil:490 kg;Comprimento:4492 mm;Distância entre-eixos:2731 mm;Largura:1780 mm;Peso:1385 kg;Porta-malas:410 litros;Tanque de combustível:63 litros;Altura do flanco:89 mm;Dianteiros:225/40 R19;Traseiros:255/35 R19;Área frontal (A):2,09 m²;Área frontal corrigida:0,669 m²;Coef. de arrasto (Cx):0,32;Coeficiente de arrasto (Cx):0,32;Assistência:Hidráulica;Diâmetro de giro:11 m;Diâmetro mínimo de giro:11 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., multibraço;Dianteiros:Disco ventilado;Frenagem 100-0 km/h:32,4 m;Traseiros:Disco ventilado;Rodoviária (G):491 km;Urbana (G):258 km;Rodoviário (G):7,8 km/l;Urbano (G):4,1 km/l",
BMW,325i,1995,325i,"Ano:1995;Combustível:Gasolina;Configuração:Sedã;Garantia:1 ano;Geração:3;Lugares:5;Portas:4;Porte:Médio;Procedência:Importado;Série:E36;Aceleração 0-100 km/h:8,8 s;Velocidade máxima:231 km/h;Acoplamento:Conversor de torque;Câmbio:Automático;Código do câmbio:ZF 5HP;Quantidade de marchas:5;Tração:Traseira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:2494 cm³;Cilindros:6 em linha;Código do motor:M50B25TU;Comando de válvulas:Duplo no cabeçote, corrente;Curso do pistão:75 mm;Diâmetro do cilindro:84 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:7,1 kg/cv;Peso/torque:54,6 kg/kgfm;Potência específica:77,0 cv/litro;Potência máxima:192 cv a 5900 rpm;Razão de compressão:10,5:1;Rotação máxima:6500 rpm;Torque específico:10,0 kgfm/litro;Torque máximo:25 kgfm a 4200 rpm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Variação do comando:Admissão;Altura:1393 mm;Bitola dianteira:1408 mm;Bitola traseira:1421 mm;Carga útil:460 kg;Comprimento:4433 mm;Distância entre-eixos:2700 mm;Largura:1698 mm;Peso:1365 kg;Porta-malas:435 litros;Tanque de combustível:65 litros;Altura do flanco:123 mm;Dianteiros:205/60 R15;Traseiros:205/60 R15;Área frontal (A):2,01 m²;Área frontal corrigida:0,643 m²;Coeficiente de arrasto (Cx):0,32;Assistência:Hidráulica;Diâmetro mínimo de giro:10,4 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Independente, multibraço;Dianteiros:Disco ventilado;Traseiros:Disco sólido;Rodoviária (G):618 km;Urbana (G):416 km;Rodoviário (G):9,5 km/l;Urbano (G):6,4 km/l",
Fiat,Strada,2011,Strada Trekking 1.8 mpi Flex 8V CS,"FIPE 06/23:R$ 34.125,00;Ano:2011;Combustível:Flex;Configuração:Picape;Garantia:1 ano;Geração:1;Lugares:2;Plataforma:178;Portas:2;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Aceleração 0-100 km/h:11,8 s;Velocidade máxima:175 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1796 cm³;Cilindros:4 em linha;Código do motor:GM Família I;Comando de válvulas:Único no cabeçote;Curso do pistão:88,2 mm;Diâmetro do cilindro:80,5 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:9,5 kg/cv;Peso/torque:58,4 kg/kgfm;Potência específica:63,5 cv/litro;Potência máxima (A):114 cv;Potência máxima (G):112 cv;Razão de compressão:10,5:1;Regime potência máx.:5500 rpm;Regime torque máx.:2800 rpm;Torque específico:10,3 kgfm/litro;Torque máximo (A):18,5 kgfm;Torque máximo (G):17,8 kgfm;Válvulas por cilindro:2;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C510;Marchas:5;Tração:Dianteira;Altura:1525 mm;Altura mínima do solo:165 mm;Ângulo de entrada:24 graus;Ângulo de saída:28 graus;Bitola dianteira:1425 mm;Bitola traseira:1390 mm;Caçamba:1100 litros;Carga útil:705 kg;Comprimento:4409 mm;Distância entre-eixos:2718 mm;Largura:1664 mm;Peso:1080 kg;Reboque sem freio:400 kg;Tanque de combustível:58 litros;Altura do flanco:140 mm;Dianteiros:175/80 R14;Estepe:175/80 R14;Traseiros:175/80 R14;Assistência:Hidráulica;Diâmetro de giro:10,7 m;Dianteira:Indep., McPherson;Elemento elástico:Mola parabólica de lâmina única;Traseira:Eixo rígido;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):435 km;Rodoviária (G):632 km;Urbana (A):342 km;Urbana (G):493 km;Rodoviário (A):7,5 km/l;Rodoviário (G):10,9 km/l;Urbano (A):5,9 km/l;Urbano (G):8,5 km/l",
Fiat,Uno,2012,Uno Mille WAY ECONOMY 1.0 F.Flex 2p,"FIPE 06/23:R$ 28.973,00;Ano:2012;Combustível:Flex;Configuração:Hatch;Garantia:1 ano;Geração:2;Lugares:5;Plataforma:327;Portas:2;Porte:Compacto;Procedência:Nacional;Aceleração 0-100 km/h:15,8 s;Velocidade máxima:151 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C513;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:999 cm³;Cilindros:4 em linha;Código do motor:Fire;Comando de válvulas:Único no cabeçote, correia dentada;Curso do pistão:64,9 mm;Diâmetro do cilindro:70 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:12,0 kg/cv;Peso/torque:90,9 kg/kgfm;Potência específica:75,1 cv/litro;Potência máxima:75 cv (A) 73 cv (G) a 6250 rpm;Razão de compressão:12,15:1;Torque específico:9,9 kgfm/litro;Torque máximo:9,9 kgfm (A) 9,5 kgfm (G) a 3850 rpm;Tuchos:Mecânicos;Válvulas por cilindro:2;Altura:1548 mm;Bitola dianteira:1430 mm;Bitola traseira:1420 mm;Carga útil:400 kg;Comprimento:3770 mm;Distância entre-eixos:2376 mm;Largura:1656 mm;Peso:900 kg;Porta-malas:280 litros;Reboque sem freio:400 kg;Tanque de combustível:48 litros;Vão livre do solo:183 mm;Altura do flanco:114 mm;Dianteiros:175/65 R14;Estepe:175/65 R14;Traseiros:175/65 R14;Área frontal (A):2,18 m²;Área frontal corrigida:0,763 m²;Coeficiente de arrasto (Cx):0,35;Assistência:Não assistida;Diâmetro mínimo de giro:9,8 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco sólido;Traseiros:Tambor;Rodoviária (A):374 km;Rodoviária (G):576 km;Urbana (A):317 km;Urbana (G):485 km;Rodoviário (A):7,8 km/l;Rodoviário (G):12 km/l;Urbano (A):6,6 km/l;Urbano (G):10,1 km/l",
Fiat,Marea Weekend,2001,Marea Weekend HLX 2.4 mpi 20V 4p Mec.,"FIPE 06/23:R$ 14.916,00;Ano:2001;Combustível:Gasolina;Configuração:Perua;Garantia:1 ano;Lugares:5;Portas:4;Porte:Médio;Procedência:Nacional;Aceleração 0-100 km/h:10,2 s;Velocidade máxima:200 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:2446 cm³;Cilindros:5 em linha;Código do motor:Pratola Serra;Comando de válvulas:Duplo no cabeçote;Curso do pistão:90,4 mm;Diâmetro do cilindro:83 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:8,7 kg/cv;Peso/torque:66,0 kg/kgfm;Potência específica:65,4 cv/litro;Potência máxima:160 cv;Razão de compressão:9,75:1;Rotação potência máx.:6000 rpm;Rotação torque máx.:3500 rpm;Torque específico:8,6 kgfm/litro;Torque máximo:21 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Variação do comando:Admissão;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C510;Marchas:5;Quantidade de marchas:5;Tração:Dianteira;Altura:1535 mm;Bitola dianteira:1475 mm;Bitola traseira:1430 mm;Carga útil:500 kg;Comprimento:4490 mm;Distância entre-eixos:2540 mm;Largura:1741 mm;Peso:1385 kg;Porta-malas:500 litros;Tanque de combustível:63 litros;Altura do flanco:117 mm;Dianteiros:195/60 R15;Traseiros:195/60 R15;Assistência:Hidráulica;Diâmetro de giro:11 m;Diâmetro mínimo de giro:11 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., braço arrastado;Dianteiros:Disco ventilado;Traseiros:Disco sólido;Rodoviária (G):794 km;Urbana (G):536 km;Rodoviário (G):12,6 km/l;Urbano (G):8,5 km/l",
Toyota,Hilux,2013,Hilux Chassi D4-D 4x4 3.0 TDI Dies. Mec.,"Ano:2013;Combustível:Diesel;Configuração:Chassi-cabine;Garantia:3 anos;Geração:7;Lugares:2;Plataforma:IMV;Portas:2;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Aceleração 0-100 km/h:11,8 s;Velocidade máxima:180 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção direta;Aspiração:Turbocompressor;Cilindrada unitária:746 cm³;Cilindros:4 em linha;Comando de válvulas:Duplo no cabeçote;Curso do pistão:103 mm;Deslocamento:2982 cm³;Diâmetro do cilindro:96 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:10,00 kg/cv;Peso/torque:48,9 kg/kgfm;Potência específica:57,3 cv/litro;Potência máxima:171 cv;Razão de compressão:15:1;Regime potência máx.:3600 rpm;Regime torque máx.:1400 rpm;Torque específico:11,7 kgfm/litro;Torque máximo:35 kgfm;Válvulas por cilindro:4;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:5;Tração:Integral temporária;Altura:1795 mm;Altura mínima do solo:212 mm;Ângulo de entrada:30 graus;Carga útil:1150 kg;Comprimento:4980 mm;Distância entre-eixos:3085 mm;Largura:1760 mm;Peso:1710 kg;Porta-malas:1150 litros;Tanque de combustível:80 litros;Altura do flanco:144 mm;Dianteiros:205/70 R16;Estepe:205/70 R16;Traseiros:205/70 R16;Assistência:Hidráulica;Diâmetro de giro:12,4 m;Dianteira:Indep., braços sobrepostos;Elemento elástico:Feixe de molas semielípticas;Traseira:Eixo rígido;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (D):896 km;Urbana (D):760 km;Rodoviário (D):11,2 km/l;Urbano (D):9,5 km/l",Ajuste do volante em altura;Alças de segurança no teto;Cintos de segurança com ajuste de altura;Comando interno da tampa do tanque;Direção assistida;Conta-giros;Termômetro do líquido de arrefecimento;Airbags frontais;Cintos de 3 pontos para todos ocupantes;Encosto de cabeça para todos ocupantes;Freios ABS;Tração integral
Ford,Focus,2014,Focus 2.0 16V/SE/SE Plus Flex 5p Aut,"FIPE 06/23:R$ 50.135,00;Ano:2014;Combustível:Flex;Configuração:Hatch;Garantia:3 anos;Geração:3;Lugares:5;Plataforma:C-Car;Portas:4;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Aceleração 0-100 km/h:9,2 s;Velocidade máxima:206 km/h;Acionam. do comando:Corrente;Alimentação:Injeção direta;Aspiração:Natural;Cilindrada:1999 cm³;Cilindros:4 em linha;Código do motor:Duratec;Comando de válvulas:Duplo no cabeçote;Curso do pistão:83,1 mm;Diâmetro do cilindro:87,5 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:7,7 kg/cv;Peso/torque:61,1 kg/kgfm;Potência específica:89,0 cv/litro;Potência máxima:178 cv (A) 175 cv (G) a 6500 rpm;Potência máxima (A):178 cv;Potência máxima (G):175 cv;Razão de compressão:12:1;Rotação potência máx.:6500 rpm;Rotação torque máx.:4500 rpm;Torque específico:11,3 kgfm/litro;Torque máximo:22,5 kgfm (A) 21,5 kgfm (G) a 4500 rpm;Torque máximo (A):22,5 kgfm;Torque máximo (G):21,5 kgfm;Tuchos:Mecânicos;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Acoplamento:Embreagem dupla a seco;Câmbio:Automatizado;Código do câmbio:Powershift;Marchas:6;Quantidade de marchas:6;Tração:Dianteira;Altura:1484 mm;Carga útil:525 kg;Comprimento:4358 mm;Distância entre-eixos:2648 mm;Largura:1823 mm;Peso:1375 kg;Porta-malas:316 litros;Tanque de combustível:55 litros;Altura do flanco:108 mm;Dianteiros:215/50 R17;Estepe:125/80 R16;Traseiros:215/50 R17;Área frontal (A):2,3 m²;Área frontal corrigida:0,660 m²;Coef. de arrasto (Cx):0,287;Coeficiente de arrasto (Cx):0,287;Assistência:Elétrica;Diâmetro de giro:11 m;Diâmetro mínimo de giro:11 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., multibraço;Dianteiros:Disco ventilado;Traseiros:Disco sólido;Rodoviária (A):473 km;Rodoviária (G):715 km;Urbana (A):358 km;Urbana (G):545 km;Rodoviário (A):8,6 km/l;Rodoviário (G):13 km/l;Urbano (A):6,5 km/l;Urbano (G):9,9 km/l",Ajuste de apoio lombar para o motorista;Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Alças de segurança no teto;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro bipartido;Banco traseiro rebatível;Bancos revestidos em couro;Câmbio automático;Comando interno da tampa do tanque;Comando interno do porta-malas;Controle automático de velocidade;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Limitador de velocidade;Luz de teto traseira;Luz no porta-luvas;Luz no porta-malas;Rodas de liga leve;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Indicador de temperatura externa;Rádio;Termômetro da água do motor;Volante multifuncional;Airbags frontais;Airbags laterais;Alarme antifurto perimétrico;Alarme antifurto volumétrico;Assistente de partida em rampa;Cintos de 3 pontos para todos ocupantes;Cintos de três pontos para todos os ocupantes;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis com regulagem de altura;Faróis de neblina;Freios ABS;ISOFIX para fixação de cadeira infantil;Limpador e lavador do vidro traseiro;Monitoramento de pressão dos pneus;Repetidores laterais das luzes de direção;Sensores de estacionamento traseiro;Travamento central das portas
Honda,Cr-v,2008,CR-V EXL 2.0 16V 4WD/2.0 Flexone Aut.,"Ano:2008;Combustível:Gasolina;Configuração:SUV;Garantia:3 anos;Geração:3;Lugares:5;Portas:4;Porte:Médio;Procedência:Importado;Aceleração 0-100 km/h:13,9 s;Velocidade máxima:167 km/h;Acoplamento:Conversor de torque;Câmbio:Automático;Quantidade de marchas:5;Tração:Integral sob demanda;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1997 cm³;Cilindros:4 em linha;Comando de válvulas:Único no cabeçote, corrente;Curso do pistão:96,6 mm;Diâmetro do cilindro:81 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,7 kg/cv;Peso/torque:82,8 kg/kgfm;Potência específica:75,1 cv/litro;Potência máxima:150 cv a 6200 rpm;Razão de compressão:10,5:1;Torque específico:9,7 kgfm/litro;Torque máximo:19,4 kgfm a 4200 rpm;Tuchos:Mecânicos;Válvulas por cilindro:4;Variação do comando:Admissão;Altura:1690 mm;Ângulo de entrada:28 graus;Ângulo de saída:22 graus;Bitola dianteira:1565 mm;Bitola traseira:1565 mm;Comprimento:4520 mm;Distância entre-eixos:2620 mm;Largura:1820 mm;Peso:1606 kg;Porta-malas:559 litros;Tanque de combustível:58 litros;Vão livre do solo:190 mm;Altura do flanco:146 mm;Dianteiros:225/65 R17;Traseiros:225/65 R17;Assistência:Elétrica;Diâmetro mínimo de giro:11,3 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Independente, braços sobrepostos;Dianteiros:Disco ventilado;Traseiros:Disco sólido;Rodoviária (G):632 km;Urbana (G):499 km;Rodoviário (G):10,9 km/l;Urbano (G):8,6 km/l",
Fiat,Argo,2021,ARGO DRIVE 1.0 6V Flex,"FIPE 06/23:R$ 61.565,00;Ano:2021;Combustível:Flex;Configuração:Hatch;Garantia:3 anos;Lugares:5;Plataforma:MP1;Portas:4;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Aceleração 0-100 km/h:13,4 s;Velocidade máxima:162 km/h;Acionam. do comando:Corrente;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:999 cm³;Cilindros:3 em linha;Código do motor:Firefly;Comando de válvulas:Único no cabeçote;Curso do pistão:86,5 mm;Diâmetro do cilindro:70 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:14,0 kg/cv;Peso/torque:98,8 kg/kgfm;Potência (A):77 cv;Potência (G):72 cv;Potência específica:77,1 cv/litro;Razão de compressão:13,2:1;Rotação máxima:6500 rpm;Rotação potência máx.:6250 rpm;Rotação torque máx.:3250 rpm;Torque (A):10,9 kgfm;Torque (G):10,4 kgfm;Torque específico:10,9 kgfm/litro;Tuchos:Hidráulicos;Válvulas por cilindro:2;Variação do comando:Admissão e escape;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C513;Marchas:5;Tração:Dianteira;Altura:1503 mm;Bitola dianteira:1465 mm;Bitola traseira:1500 mm;Carga útil:400 kg;Comprimento:3998 mm;Distância entre-eixos:2521 mm;Largura:1724 mm;Peso:1077 kg;Porta-malas:300 litros;Reboque sem freio:400 kg;Tanque de combustível:48 litros;Vão livre do solo:155 mm;Altura do flanco:114 mm;Dianteiros:175/65 R14;Estepe:175/65 R14;Traseiros:175/65 R14;Área frontal (A):2,2 m²;Área frontal corrigida:0,748 m²;Coef. de arrasto (Cx):0,34;Assistência:Elétrica;Diâmetro de giro:10,3 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco sólido;Traseiros:Tambor;Rodoviária (A):504 km;Rodoviária (G):720 km;Urbana (A):451 km;Urbana (G):648 km;Rodoviário (A):10,5 km/l;Rodoviário (G):15 km/l;Urbano (A):9,4 km/l;Urbano (G):13,5 km/l",Ajuste do volante em altura;Ajuste elétrico dos retrovisores;Alças de segurança no teto;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro rebatível;Comando interno da tampa do tanque;Comando interno do porta-malas;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Luz no porta-luvas;Luz no porta-malas;Zonas de ar-condicionado: 1;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Espelhamento da tela do celular;Rádio;Termômetro da água do motor;Termômetro do líquido de arrefecimento;Volante multifuncional;Airbags frontais;Alarme antifurto perimétrico;Cintos de 3 pontos para todos ocupantes;Cintos de três pontos para todos os ocupantes;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Freios ABS;ISOFIX para fixação de cadeira infantil;Limpador e lavador do vidro traseiro;Repetidores laterais das luzes de direção;Sensores de estacionamento traseiro;Travamento central das portas
Honda,City Hatch,2022,CITY Hatchback Touring 1.5 Flex 16V Aut,"FIPE 06/23:R$ 117.946,00;Ano:2022;Combustível:Flex;Configuração:Hatch;Garantia:3 anos;Geração:5;Lugares:5;Portas:4;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Aceleração 0-100 km/h:10,8 s;Velocidade máxima:175 km/h;Acionam. do comando:Corrente;Alimentação:Injeção direta;Aspiração:Natural;Cilindrada:1497 cm³;Cilindros:4 em linha;Código do motor:L15B;Comando de válvulas:Duplo no cabeçote;Curso do pistão:89,5 mm;Diâmetro do cilindro:73 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:9,4 kg/cv;Peso/torque:74,7 kg/kgfm;Potência específica:84,2 cv/litro;Potência máxima (A):126 cv;Potência máxima (G):126 cv;Razão de compressão:11,5:1;Rotação potência máx.:6200 rpm;Rotação torque máx.:4600 rpm;Torque específico:10,6 kgfm/litro;Torque máximo:15,8 kgfm (A);Torque máximo (A):15,8 kgfm;Torque máximo (G):15,5 kgfm;Válvulas por cilindro:4;Variação do comando:Admissão;Acoplamento:Conversor de torque;Câmbio:CVT;Marchas:7;Tração:Dianteira;Altura:1498 mm;Bitola dianteira:1476 mm;Bitola traseira:1466 mm;Comprimento:4341 mm;Distância entre-eixos:2600 mm;Largura:1748 mm;Peso:1180 kg;Porta-malas:268 litros;Tanque de combustível:39 litros;Altura do flanco:102 mm;Dianteiros:185/55 R16;Estepe:135/80 R15;Traseiros:185/55 R16;Assistência:Elétrica;Diâmetro de giro:10,6 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):410 km;Rodoviária (G):577 km;Urbana (A):355 km;Urbana (G):519 km;Rodoviário (A):10,5 km/l;Rodoviário (G):14,8 km/l;Urbano (A):9,1 km/l;Urbano (G):13,3 km/l",Acionamento remoto do motor;Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Alças de segurança no teto;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Ar-condicionado automático;Banco do motorista com ajuste de altura;Banco traseiro bipartido;Banco traseiro rebatível;Bancos revestidos em couro;Câmbio automático;Chave presencial;Comando interno da tampa do tanque;Comando interno do porta-malas;Controle automático de velocidade;Controle de velocidade adaptativo;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Faróis com acendimento automático;Luz no porta-malas;Retrovisores rebativeis eletricamente;Rodas de liga leve;Saída de ar para o banco traseiro;Troca de marchas no volante;Zonas de ar-condicionado: 1;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Espelhamento da tela do celular;Indicador de temperatura externa;Rádio;Volante multifuncional;Airbags de cortina;Airbags frontais;Airbags laterais;Alarme antifurto perimétrico;Alerta de colisão frontal;Alerta de mudança de faixa;Alerta de ponto cego;Assistente de farol alto;Assistente de partida em rampa;Assistente de permanência em faixa;Câmera traseira para manobras;Cintos de 3 pontos para todos ocupantes;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Faróis com refletores duplos;Faróis com regulagem de altura;Faróis de LED;Faróis de neblina;Freios ABS;Frenagem automática de emergência;ISOFIX para fixação de cadeira infantil;Limpador e lavador do vidro traseiro;Luzes de condução diurna;Monitoramento de pressão dos pneus;Repetidores laterais das luzes de direção;Sensores de estacionamento dianteiro;Sensores de estacionamento traseiro;Travamento central das portas
Ford,Versailles,1995,Versailles GL 2.0i / 2.0 2p e 4p,"FIPE 06/23:R$ 9.893,00;Ano:1995;Combustível:Gasolina;Configuração:Sedã;Garantia:1 ano;Lugares:5;Plataforma:B2;Portas:4;Porte:Médio;Procedência:Nacional;Aceleração 0-100 km/h:11,1 s;Velocidade máxima:174 km/h;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1984 cm³;Cilindros:4 em linha;Código do motor:AP-2000;Comando de válvulas:Único no cabeçote, correia dentada;Curso dos pistões:92,8 mm;Diâmetro dos cilindros:82,5 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:10,3 kg/cv;Peso/torque:71,7 kg/kgfm;Potência específica:60,5 cv/litro;Potência máxima:120 cv a 5600 rpm;Razão de compressão:10:1;Torque específico:8,7 kgfm/litro;Torque máximo:17,3 kgfm a 3000 rpm;Tuchos:Hidráulicos;Válvulas por cilindro:2;Altura:1417 mm;Bitola dianteira:1414 mm;Bitola traseira:1422 mm;Carga útil:440 kg;Comprimento:4572 mm;Distância entre-eixos:2548 mm;Largura:1686 mm;Peso:1240 kg;Porta-malas:363 litros;Tanque de combustível:72 litros;Altura do flanco:117 mm;Dianteiros:Disco ventilado;Dianteiros:195/60 R14;Assistência:Hidráulica;Diâmetro mínimo de giro:11,25 m;Câmbio:Manual;Quantidade de marchas:5;Tração:Dianteira;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Rodoviária (G):929 km;Urbana (G):626 km;Rodoviário (G):12,9 km/l;Urbano (G):8,7 km/l;Traseiros:195/60 R14;Traseiros:Tambor",
